File BR50042, IAD, Is already downloaded: Skipping
File BR50044, no, Link 1 Error: ("<urlopen error [WinError 3] Den angivne sti blev ikke fundet: 'C:\\\\Users\\\\miller\\\\Downloads\\\\AA_AR2017.pdf'>",). Link 2 Error: No data found: Skipping
File BR50045, IAD, Is already downloaded: Skipping
File BR50046, no, Link 1 Error: ('1: No data found: Skipping',). Link 2 Error: No data found: Skipping
File BR50047, IAD, Is already downloaded: Skipping
File BR50048, no, Link 1 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>, Link 2 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
File BR50049, no, Link 1 Error: ('<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)>',). Link 2 Error: No data found: Skipping
File BR50041, no, Link 1 Error: ('<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>',). Link 2 Error: No data found: Skipping
File BR50050, no, Link 1 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>, Link 2 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
File BR50052, IAD, Is already downloaded: Skipping
File BR50051, no, Link 1 Error: ('<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)>',). Link 2 Error: No data found: Skipping
File BR50054, IAD, Is already downloaded: Skipping
File BR50055, IAD, Is already downloaded: Skipping
File BR50056, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50057, IAD, Is already downloaded: Skipping
File BR50043, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 404: Not Found
File BR50058, IAD, Is already downloaded: Skipping
File BR50060, IAD, Is already downloaded: Skipping
File BR50059, IAD, Is already downloaded: Skipping
File BR50061, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50063, YES, Downloaded without issue through link1
File BR50064, no, Link 1 Error: ('<urlopen error [Errno 11001] getaddrinfo failed>',). Link 2 Error: No data found: Skipping
File BR50062, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50053, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: 3: Not a PDF: Deleting
File BR50065, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50066, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: 3: Not a PDF: Deleting
File BR50069, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50067, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50071, no, Link 1 Error: <urlopen error [Errno 11001] getaddrinfo failed>, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50072, no, Link 1 Error: <urlopen error [Errno 11001] getaddrinfo failed>, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50073, no, Link 1 Error: ('HTTP Error 409: Conflict',). Link 2 Error: No data found: Skipping
File BR50070, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: 3: Not a PDF: Deleting
File BR50074, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50076, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 403: Forbidden
File BR50075, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50077, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50078, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50080, YES, Downloaded without issue through link1
File BR50079, YES, Downloaded without issue through link1
File BR50082, no, Link 1 Error: HTTP Error 502: Bad Gateway, Link 2 Error: 3: Not a PDF: Deleting
File BR50083, no, Link 1 Error: HTTP Error 502: Bad Gateway, Link 2 Error: HTTP Error 502: Bad Gateway
File BR50081, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: <urlopen error [Errno 11002] getaddrinfo failed>
File BR50084, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50086, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50087, no, Link 1 Error: ('<urlopen error [Errno 11001] getaddrinfo failed>',). Link 2 Error: No data found: Skipping
File BR50088, no, Link 1 Error: ('<urlopen error [Errno 11001] getaddrinfo failed>',). Link 2 Error: No data found: Skipping
File BR50089, no, Link 1 Error: <urlopen error [Errno 11001] getaddrinfo failed>, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
